,year,ch4_emissions_tg,n2o_emissions_tg,c_emissions_pg,co2_concentration_ppm,ch4_concentration_ppb,n2o_concentration_ppb,co2_forcing_wm2,ch4_forcing_wm2,n2o_forcing_wm2,total_forcing_wm2
491,2256,905.44156,20.96485585778539,2.07852,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
492,2257,905.5483199999999,20.96485585778539,2.09004,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
493,2258,905.6550800000001,20.96485585778539,2.1015599999999997,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
494,2259,905.76184,20.96485585778539,2.11308,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
495,2260,905.8686,20.96485585778539,2.1246,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
496,2261,905.9807,20.96485585778539,2.1217267000000004,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
497,2262,906.0928,20.96485585778539,2.1188533,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
498,2263,906.2049,20.96485585778539,2.11598,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
499,2264,906.317,20.96485585778539,2.1131067000000003,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
500,2265,906.4291,20.96485585778539,2.1102333,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
501,2266,906.5412,20.96485585778539,2.10736,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
502,2267,906.6533,20.96485585778539,2.1044867000000003,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
503,2268,906.7654,20.96485585778539,2.1016133,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
504,2269,906.8775,20.96485585778539,2.0987400000000003,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
505,2270,906.9896,20.96485585778539,2.0958667,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
